# time (ns)	Signal
1	0.922584736
2	0.891547689
3	0.843101814
4	0.839525129
5	0.79110368
6	0.767747342
7	0.720214665
8	0.683733227
9	0.676642907
10	0.645325319
11	0.623555932
12	0.61167522
13	0.573875559
14	0.573633078
15	0.536055216
16	0.513806189
17	0.505191854
18	0.504212442
19	0.473221908
20	0.474030089
21	0.449344814
22	0.436442184
23	0.451284401
24	0.462840207
25	0.414259794
26	0.401987959
27	0.412137753
28	0.38789827
29	0.412099594
30	0.372340685
31	0.393330377
32	0.386478979
33	0.354859565
34	0.384762176
35	0.353144018
36	0.361421838
37	0.365738409
38	0.334448205
39	0.359054285
40	0.337586668
41	0.344185402
42	0.34236827
43	0.346577862
44	0.343136621
45	0.324763802
46	0.307367673
47	0.314929129
48	0.311543335
49	0.295598156
50	0.298117458
51	0.309297182
52	0.306566365
53	0.284506386
54	0.286280172
55	0.30958751
56	0.312085841
57	0.291315539
58	0.283729762
59	0.302707502
60	0.258654247
61	0.276394409
62	0.293375253
63	0.252902843
64	0.27012302
65	0.247953437
66	0.265207705
67	0.26448004
68	0.237597451
69	0.238255928
70	0.236497436
71	0.262020771
72	0.258296159
73	0.254355943
74	0.252316575
75	0.232945229
76	0.233377553
77	0.212023556
78	0.20993459
79	0.205776953
80	0.201176001
81	0.233400855
82	0.206127022
83	0.204775498
84	0.203700797
85	0.234762222
86	0.201686759
87	0.215780006
88	0.216911582
89	0.207813388
90	0.211453136
91	0.189521655
92	0.1919988
93	0.189463598
94	0.19806265
95	0.206265098
96	0.178693683
97	0.204915541
98	0.203595833
99	0.187137368
100	0.161619702
